#BGC Name	Family Number
HQB-107_c00002_NODE_2_...region002	1
HQB-10_region002	8
HQB-111_c00001_NODE_1_...region001	14
HQB-10_region001	22
HQB-118_c00001_NODE_1_...region001	22
HQB-118_c00002_NODE_2_...region001	24
HQB-10_region004	27
HQB-118_c00003_NODE_3_...region002	27
HQB-10_region003	28
HQB-118_c00017_NODE_17...region001	28
HQB-123_c00003_NODE_3_...region001	30
HQB-123_c00006_NODE_6_...region001	31
HQB-127_c00002_NODE_2_...region001	34
HQB-127_c00003_NODE_3_...region001	35
HQB-127_c00006_NODE_6_...region001	40
HQB-136_Chr1.region003	47
HQB-162_Chr1.region005	47
HQB-410_c00011_NODE_11...region001	47
HQB-127_c00004_NODE_4_...region001	52
HQB-138_c00002_NODE_2_...region003	52
HQB-200_c00002_NODE_2_...region001	52
HQB-152_Chr1.region001	61
OP50_c00001_NZ_CP05...region001	61
HQB-152_Chr1.region002	62
HQB-154_Chr1.region004	70
HQB-177_c00001_NODE_1_...region001	88
HQB-279_c00002_NODE_2_...region001	88
HQB-179_Chr1.region001	94
HQB-179_Chr1.region004	97
HQB-180_Chr1.region001	99
HQB-355_Chr1.region001	99
HQB-181_c00001_NODE_1_...region004	103
HQB-138_c00002_NODE_2_...region001	104
HQB-181_c00002_NODE_2_...region001	104
HQB-181_c00003_NODE_3_...region003	107
HQB-111_c00011_NODE_11...region001	112
HQB-174_c00002_NODE_2_...region001	112
HQB-19_NODE_2_...region001	112
HQB-200_c00005_NODE_5_...region001	121
HQB-200_c00005_NODE_5_...region002	122
HQB-200_c00006_NODE_6_...region001	126
HQB-200_c00009_NODE_9_...region001	127
HQB-110_c00007_NODE_7_...region001	130
HQB-111_c00019_NODE_19...region001	130
HQB-171_c00003_NODE_3_...region001	130
HQB-19_NODE_16...region001	130
HQB-20_NODE_2_...region001	130
HQB-20_NODE_6_...region002	132
HQB-226_Chr1.region004	141
HQB-107_c00004_NODE_4_...region001	142
HQB-19_NODE_4_...region001	142
HQB-20_NODE_6_...region001	142
HQB-22_c00001_NODE_1_...region001	142
HQB-19_NODE_3_...region001	144
HQB-21_c00003_NODE_3_...region001	144
HQB-22_c00002_NODE_2_...region002	144
HQB-111_c00005_NODE_5_...region001	145
HQB-114_c00012_NODE_12...region001	145
HQB-150_c00014_NODE_14...region001	145
HQB-171_c00010_NODE_10...region001	145
HQB-174_c00004_NODE_4_...region001	145
HQB-19_NODE_7_...region001	145
HQB-20_NODE_7_...region001	145
HQB-21_c00002_NODE_2_...region001	145
HQB-22_c00003_NODE_3_...region001	145
HQB-263_c00005_NODE_5_...region001	149
HQB-263_c00020_NODE_20...region001	150
HQB-267_c00005_NODE_5_...region001	155
HQB-267_c00005_NODE_5_...region002	156
HQB-267_c00006_NODE_6_...region002	158
HQB-267_c00020_NODE_20...region001	160
HQB-107_c00014_NODE_14...region001	165
HQB-179_Chr1.region005	165
HQB-267_c00006_NODE_6_...region001	165
HQB-279_c00007_NODE_7_...region001	165
HQB-177_c00004_NODE_4_...region001	173
HQB-279_c00004_NODE_4_...region001	173
HQB-294_c00002_NODE_2_...region001	173
HQB-323_Chr1.region001	173
HQB-152_Chr1.region005	176
HQB-154_Chr1.region001	176
HQB-177_c00001_NODE_1_...region002	176
HQB-323_Chr1.region002	176
HQB-279_c00003_NODE_3_...region001	178
HQB-294_c00001_NODE_1_...region001	178
HQB-323_Chr1.region004	178
HQB-152_Chr1.region003	179
HQB-154_Chr1.region003	179
HQB-267_c00001_NODE_1_...region001	179
HQB-323_Chr1.region005	179
HQB-152_Chr1.region004	180
HQB-154_Chr1.region002	180
HQB-267_c00006_NODE_6_...region003	180
HQB-279_c00008_NODE_8_...region001	180
HQB-323_Chr1.region003	180
HQB-323_Chr1.region006	180
HQB-107_c00007_NODE_7_...region001	181
HQB-154_Chr1.region005	181
HQB-177_c00003_NODE_3_...region001	181
HQB-267_c00002_NODE_2_...region001	181
HQB-323_Plas2.region001	181
HQB-325_c00001_NODE_1_...region001	182
HQB-452_c00004_NODE_4_...region001	182
HQB-465_Chr1.region002	182
HQB-325_c00014_NODE_14...region001	184
HQB-498_c00002_NODE_2_...region001	184
HQB-325_c00033_NODE_33...region001	186
HQB-325_c00040_NODE_40...region001	187
HQB-325_c00043_NODE_43...region001	188
HQB-332_c00015_NODE_15...region001	191
HQB-332_c00040_NODE_40...region001	193
HQB-114_c00024_NODE_24...region001	198
HQB-150_c00102_NODE_10...region001	198
HQB-171_c00012_NODE_12...region001	198
HQB-345_c00012_NODE_12...region001	198
HQB-179_Chr1.region003	213
HQB-347_c00003_NODE_3_...region002	213
HQB-361_c00002_NODE_2_...region001	213
HQB-372_c00016_NODE_16...region001	213
HQB-399_c00001_NODE_1_...region001	214
HQB-39_c00007_NODE_7_...region001	219
HQB-111_c00023_NODE_23...region001	222
HQB-174_c00019_NODE_19...region001	222
HQB-19_NODE_25...region001	222
HQB-20_NODE_29...region001	222
HQB-21_c00019_NODE_19...region001	222
HQB-22_c00015_NODE_15...region001	222
HQB-39_c00031_NODE_31...region001	222
HQB-281_c00001_NODE_1_...region001	230
HQB-410_c00009_NODE_9_...region001	230
HQB-200_c00004_NODE_4_...region001	235
HQB-423_c00008_NODE_8_...region001	235
HQB-423_c00018_NODE_18...region001	236
HQB-138_c00005_NODE_5_...region001	237
HQB-200_c00002_NODE_2_...region003	237
HQB-267_c00003_NODE_3_...region001	237
HQB-281_c00001_NODE_1_...region002	237
HQB-428_c00007_NODE_7_...region001	237
HQB-429_c00007_NODE_7_...region001	243
HQB-440_Chr1.region003	246
HQB-452_c00003_NODE_3_...region001	249
HQB-458_Chr1.region006	257
HQB-138_c00016_NODE_16...region001	262
HQB-200_c00002_NODE_2_...region002	262
HQB-200_c00005_NODE_5_...region004	262
HQB-410_c00006_NODE_6_...region001	262
HQB-458_Chr1.region002	262
HQB-458_Chr1.region003	262
HQB-458_Chr1.region011	262
HQB-179_Chr1.region002	264
HQB-458_Chr1.region013	264
HQB-458_Chr1.region008	265
HQB-464_c00001_NODE_1_...region001	265
HQB-464_c00001_NODE_1_...region002	266
HQB-458_Chr1.region012	267
HQB-464_c00002_NODE_2_...region001	267
HQB-464_c00004_NODE_4_...region001	268
HQB-464_c00004_NODE_4_...region002	269
HQB-465_Chr1.region001	271
HQB-325_c00014_NODE_14...region002	273
HQB-332_c00001_NODE_1_...region001	273
HQB-347_c00001_NODE_1_...region001	273
HQB-458_Chr1.region004	273
HQB-465_Chr1.region003	273
HQB-325_c00012_NODE_12...region001	274
HQB-452_c00006_NODE_6_...region001	274
HQB-458_Chr1.region007	274
HQB-458_Chr1.region010	274
HQB-464_c00006_NODE_6_...region001	274
HQB-465_Chr1.region004	274
HQB-332_c00017_NODE_17...region001	275
HQB-452_c00002_NODE_2_...region001	275
HQB-465_Chr1.region005	275
HQB-127_c00003_NODE_3_...region002	280
HQB-345_c00006_NODE_6_...region001	280
HQB-347_c00002_NODE_2_...region001	280
HQB-410_c00009_NODE_9_...region002	280
HQB-440_Chr1.region004	280
HQB-471_c00013_NODE_13...region001	280
HQB-410_c00003_NODE_3_...region002	281
HQB-410_c00014_NODE_14...region001	281
HQB-471_c00015_NODE_15...region001	281
HQB-127_c00001_NODE_1_...region001	282
HQB-177_c00008_NODE_8_...region001	282
HQB-181_c00001_NODE_1_...region001	282
HQB-361_c00003_NODE_3_...region001	282
HQB-372_c00001_NODE_1_...region001	282
HQB-473_c00002_NODE_2_...region001	282
HQB-476_NZ_CP016268.1.region001	283
HQB-476_NZ_CP016268.1.region003	285
HQB-484_c00001_NODE_1_...region001	287
HQB-484_c00006_NODE_6_...region001	289
HQB-484_c00007_NODE_7_...region002	291
HQB-484_c00013_NODE_13...region001	292
HQB-107_c00002_NODE_2_...region001	294
HQB-111_c00013_NODE_13...region001	294
HQB-127_c00005_NODE_5_...region001	294
HQB-127_c00010_NODE_10...region001	294
HQB-127_c00016_NODE_16...region001	294
