#BGC Name	Family Number
HQB-107_c00015_NODE_15...region001	6
HQB-429_c00001_NODE_1_...region002	6
HQB-491_c00006_NODE_6_...region001	6
HQB-111_c00001_NODE_1_...region001	14
HQB-10_region001	22
HQB-118_c00001_NODE_1_...region001	22
HQB-127_c00003_NODE_3_...region002	22
HQB-118_c00003_NODE_3_...region001	26
HQB-127_c00001_NODE_1_...region002	26
HQB-162_Chr1.region002	26
HQB-181_c00003_NODE_3_...region002	26
HQB-21_c00001_NODE_1_...region001	26
HQB-361_c00001_NODE_1_...region001	26
HQB-399_c00001_NODE_1_...region002	26
HQB-5_region002	26
HQB-91_c00004_NODE_4_...region001	26
HQB-99_c00001_NODE_1_...region003	26
HQB-123_c00002_NODE_2_...region001	29
HQB-123_c00003_NODE_3_...region001	30
HQB-127_c00002_NODE_2_...region001	34
HQB-138_c00016_NODE_16...region001	55
HQB-138_c00023_NODE_23...region001	56
HQB-150_c00014_NODE_14...region001	58
HQB-345_c00006_NODE_6_...region001	58
HQB-410_c00009_NODE_9_...region002	58
HQB-471_c00013_NODE_13...region001	58
HQB-152_Chr1.region001	61
HQB-152_Chr1.region002	62
HQB-152_Chr1.region003	69
HQB-154_Chr1.region003	69
HQB-267_c00001_NODE_1_...region001	69
HQB-323_Chr1.region005	69
HQB-154_Chr1.region005	71
HQB-162_Chr1.region006	77
HQB-46_Chr1.region004	77
HQB-491_c00001_NODE_1_...region001	77
HQB-5_region001	77
HQB-76_c00003_NODE_3_...region001	77
HQB-86_c00001_NODE_1_...region003	77
HQB-88_c00003_NODE_3_...region001	77
HQB-90_c00003_NODE_3_...region001	77
HQB-111_c00005_NODE_5_...region001	85
HQB-114_c00012_NODE_12...region001	85
HQB-171_c00010_NODE_10...region001	85
HQB-174_c00004_NODE_4_...region001	85
HQB-19_NODE_7_...region001	85
HQB-20_NODE_7_...region001	85
HQB-21_c00002_NODE_2_...region001	85
HQB-22_c00003_NODE_3_...region001	85
HQB-177_c00001_NODE_1_...region001	88
HQB-279_c00002_NODE_2_...region001	88
HQB-177_c00003_NODE_3_...region001	90
HQB-267_c00002_NODE_2_...region001	90
HQB-323_Plas2.region001	90
HQB-410_c00009_NODE_9_...region001	90
HQB-181_c00001_NODE_1_...region003	102
HQB-110_c00007_NODE_7_...region001	110
HQB-111_c00019_NODE_19...region001	110
HQB-171_c00003_NODE_3_...region001	110
HQB-19_NODE_16...region001	110
HQB-20_NODE_2_...region001	110
HQB-22_c00002_NODE_2_...region001	110
HQB-345_c00001_NODE_1_...region001	110
HQB-34_c00008_NODE_8_...region001	110
HQB-39_c00011_NODE_11...region001	110
HQB-410_c00007_NODE_7_...region001	110
HQB-491_c00004_NODE_4_...region002	110
HQB-70_Chr1.region001	110
HQB-91_c00001_NODE_1_...region001	110
HQB-91_c00003_NODE_3_...region001	110
HQB-127_c00001_NODE_1_...region001	123
HQB-177_c00008_NODE_8_...region001	123
HQB-181_c00001_NODE_1_...region001	123
HQB-200_c00005_NODE_5_...region003	123
HQB-226_Chr1.region002	139
HQB-226_Chr1.region004	141
HQB-19_NODE_4_...region001	142
HQB-20_NODE_6_...region001	142
HQB-22_c00001_NODE_1_...region001	142
HQB-19_NODE_3_...region001	144
