#BGC Name	Family Number
HQB-111_c00001_NODE_1_...region001	14
HQB-10_region001	22
HQB-118_c00001_NODE_1_...region001	22
HQB-123_c00003_NODE_3_...region001	30
HQB-127_c00002_NODE_2_...region001	34
HQB-138_c00023_NODE_23...region001	56
HQB-152_Chr1.region001	61
HQB-152_Chr1.region002	62
HQB-154_Chr1.region005	71
HQB-294_c00009_NODE_9_...region001	71
HQB-323_Chr1.region003	71
HQB-177_c00001_NODE_1_...region001	88
HQB-279_c00002_NODE_2_...region001	88
HQB-110_c00007_NODE_7_...region001	130
HQB-111_c00019_NODE_19...region001	130
HQB-171_c00003_NODE_3_...region001	130
HQB-19_NODE_16...region001	130
HQB-20_NODE_2_...region001	130
HQB-226_Chr1.region004	141
HQB-19_NODE_4_...region001	142
HQB-20_NODE_6_...region001	142
HQB-22_c00001_NODE_1_...region001	142
HQB-19_NODE_3_...region001	144
HQB-22_c00002_NODE_2_...region002	144
HQB-111_c00005_NODE_5_...region001	145
HQB-114_c00012_NODE_12...region001	145
HQB-171_c00010_NODE_10...region001	145
HQB-174_c00004_NODE_4_...region001	145
HQB-19_NODE_7_...region001	145
HQB-20_NODE_7_...region001	145
HQB-21_c00002_NODE_2_...region001	145
HQB-226_Chr1.region002	145
HQB-22_c00003_NODE_3_...region001	145
HQB-267_c00006_NODE_6_...region003	159
HQB-267_c00020_NODE_20...region001	160
HQB-177_c00004_NODE_4_...region001	173
HQB-279_c00004_NODE_4_...region001	173
HQB-294_c00002_NODE_2_...region001	173
HQB-323_Chr1.region001	173
HQB-152_Chr1.region003	179
HQB-154_Chr1.region003	179
HQB-177_c00008_NODE_8_...region001	179
HQB-267_c00001_NODE_1_...region001	179
HQB-323_Chr1.region005	179
HQB-177_c00003_NODE_3_...region001	181
HQB-267_c00002_NODE_2_...region001	181
HQB-323_Plas2.region001	181
HQB-325_c00033_NODE_33...region001	186
HQB-107_c00007_NODE_7_...region001	213
HQB-347_c00003_NODE_3_...region002	213
HQB-361_c00002_NODE_2_...region001	213
HQB-372_c00016_NODE_16...region001	213
HQB-399_c00001_NODE_1_...region001	214
HQB-39_c00007_NODE_7_...region001	219
HQB-281_c00001_NODE_1_...region001	230
